,Time (s),Pressure (hPa)
0,0.203140464,982.2392578
1,0.303140464,982.2763672
2,0.403140464,982.2580566
3,0.503140464,982.199707
4,0.603140464,982.166748
5,0.703140464,982.1315918
6,0.803140464,982.1303711
7,0.903140464,982.0952148
8,1.003140464,982.0876465
9,1.103140464,982.1186523
10,1.203140464,982.1088867
11,1.303140464,982.097168
12,1.403140464,982.0698242
13,1.503140464,982.0649414
14,1.603140464,982.0908203
15,1.703140464,982.1062012
16,1.803140464,982.1132812
17,1.903140464,982.1057129
18,2.003140464,982.1154785
19,2.103140464,982.1164551
20,2.203140464,982.1081543
21,2.303140464,982.1254883
22,2.403140464,982.111084
23,2.503140464,982.105957
24,2.603140464,982.1237793
25,2.703140464,982.1396484
26,2.803140464,982.1105957
27,2.903140464,982.1091309
28,3.003140464,982.1164551
29,3.103140464,982.1166992
30,3.20458096,982.1293945
31,3.30458096,982.1230469
32,3.40458096,982.104248
33,3.50458096,982.0974121
34,3.60458096,982.1054688
35,3.70458096,982.0996094
36,3.80458096,982.0703125
37,3.90458096,982.0424805
38,4.00458096,982.0378418
39,4.10458096,982.0302734
40,4.20458096,981.9975586
41,4.30458096,982.0058594
42,4.40458096,981.9941406
43,4.50458096,981.9846191
44,4.60458096,981.9829102
45,4.70458096,981.9616699
46,4.80458096,981.9301758
47,4.90458096,981.9304199
48,5.00458096,981.9006348
49,5.10458096,981.8947754
50,5.20458096,981.892334
51,5.30458096,981.8974609
52,5.40458096,981.9038086
53,5.50458096,981.8986816
54,5.60458096,981.9116211
55,5.70458096,981.9038086
56,5.80458096,981.9243164
57,5.90458096,981.8881836
58,6.00458096,981.8669434
59,6.10458096,981.8588867
60,6.20458096,981.8586426
61,6.30458096,981.8562012
62,6.40458096,981.8483887
63,6.50458096,981.8522949
64,6.60458096,981.8503418
65,6.70458096,981.8271484
66,6.80458096,981.7937012
67,6.90458096,981.7856445
68,7.00458096,981.7770996
69,7.10458096,981.7802734
70,7.20458096,981.7939453
71,7.30458096,981.7746582
72,7.40458096,981.770752
73,7.50458096,981.7775879
